pl_name,pl_bmasse,pl_rade,pl_orbper,pl_eqt,st_mass,st_rad,st_teff
"Kepler-967 c",,3.65000000,198.71125020000,,0.840000,0.800000,5178.00
"Kepler-327 d",,1.73000000,13.96945700000,,,0.492000,3799.00
"WASP-93 b",467.21010000,17.90077300,2.73253210000,1942.00,1.334000,1.524000,6700.00
"Kepler-1874 b",,2.21110724,56.57320023000,,0.758000,0.775000,4701.00
"TOI-2096 b",,1.24300000,3.11906330000,445.00,0.231000,0.235000,3300.00
"CoRoT-28 b",153.82972000,10.70459500,5.20851000000,,1.010000,1.780000,5150.00
"K2-275 c",,2.21000000,8.43883850000,653.00,0.770000,0.690000,4841.00
"TOI-5789 c",5.00000000,2.86000000,12.92774800000,718.00,0.821000,0.833000,5185.00
"Kepler-1050 c",,1.48000000,21.12845690000,,1.090000,1.130000,6010.00
"Kepler-275 b",,2.34000000,10.30068200000,,,1.383000,6165.00
"Kepler-464 b",,3.30000000,7.25696522400,,1.210000,1.590000,5933.00
"Kepler-297 c",,6.54000000,74.92013700000,,,0.915000,5619.00
"Kepler-454 b",5.40000000,2.37000000,10.57375340000,916.00,1.030000,1.066000,5687.00
"TOI-5027 b",642.01338214,10.76062147,10.24368000000,1056.00,1.020000,0.920000,5909.00
"Kepler-834 b",,2.02000000,13.32388301000,,0.700000,0.660000,4554.00
"K2-105 b",15.40000000,3.40000000,8.26726000000,805.00,0.940000,0.905000,5373.00
"Kepler-1228 b",,1.54000000,0.57736957900,,0.780000,0.740000,5063.00
"KOI-142 b",9.50000000,3.43800000,10.91647000000,,0.990000,0.897000,5466.00
"HAT-P-46 b",156.68400000,14.39200000,4.46312900000,1458.00,1.284000,1.396000,6120.00
"Kepler-122 b",,2.34000000,5.76619300000,,,1.216000,6050.00
"Kepler-100 d",3.00000000,1.61000000,35.33310000000,,1.080000,1.490000,5825.00
"Kepler-1208 b",,2.32000000,11.08507637000,,0.800000,0.760000,5001.00
"Kepler-1481 b",,1.23000000,5.94220998000,,0.800000,0.750000,4908.00
"Kepler-1166 b",,1.69000000,33.24068820000,,0.900000,0.860000,5446.00
"Kepler-157 c",,2.24000000,13.54050000000,,,1.044000,5774.00
"Kepler-837 b",,2.56000000,16.56059504000,,0.850000,0.810000,5403.00
"Kepler-360 c",,2.10000000,7.18643400000,,,1.058000,6053.00
"K2-333 b",,6.18000000,14.75928700000,826.00,1.060000,1.220000,5880.00
"Kepler-1165 c",,3.36093385,29.96870041000,,1.130000,1.076000,6249.00
"Kepler-371 c",,1.78000000,67.96801500000,,,0.992000,5666.00
"K2-350 b",,1.54000000,4.16387300000,1158.00,0.980000,1.040000,5789.00
"NGTS-6 b",425.57437000,14.86313400,0.88205900000,1283.90,0.767000,0.754000,4730.00
"Kepler-419 b",794.50000000,10.80000000,69.75460000000,,1.390000,1.740000,6430.00
"Kepler-1515 b",,9.55000000,214.31141640000,,1.300000,1.410000,6511.00
"Kepler-540 b",,2.71000000,172.70497840000,,1.020000,1.080000,5946.00
"HATS-26 b",206.58950000,19.61575000,3.30238810000,1918.00,1.299000,2.040000,6071.00
"Kepler-85 b",1.84000000,1.77800000,8.30000000000,,0.928000,0.875000,5505.20
"K2-16 c",,2.54000000,19.07863000000,485.00,0.680000,0.660000,4742.00
"TOI-7510 c",131.00000000,10.81000000,22.56874230000,702.00,1.063000,1.035000,5720.00
"Kepler-805 b",,2.89000000,30.86389310000,,1.190000,1.650000,6112.00
"Kepler-122 c",,5.87000000,12.46598800000,,,1.216000,6050.00
"WASP-68 b",343.25640000,14.79588000,5.08430000000,,1.490000,1.790000,5910.00
"HD 97658 b",8.30000000,2.12000000,9.48971160000,751.00,0.850000,0.728000,5212.00
"Kepler-1379 b",,1.30000000,0.88184114600,,0.830000,0.790000,5188.00
"Kepler-1850 b",,0.72909663,1.38580000400,,0.611000,0.600000,4239.00
"Kepler-1943 b",,1.54869189,4.85018014900,,1.055000,0.973000,6032.00
"Kepler-519 b",,2.10000000,24.30789460000,,0.890000,0.800000,5260.00
"Kepler-661 b",,3.07000000,6.02930132100,,0.700000,0.670000,4483.00
"Kepler-1813 b",,1.41300000,2.81816005700,,0.812000,0.787000,5167.00
"Kepler-237 b",,1.41000000,4.71510600000,,,0.725000,4861.00
"Kepler-177 b",5.84000000,3.50000000,36.86010000000,,0.921000,1.324000,5732.00
"K2-237 b",434.15360396,16.06246934,2.18053332000,1759.00,1.256000,1.236000,6180.00
"TIC 139702105 b",,2.45316949,6.83601903383,,,1.254230,5742.35
"Kepler-696 b",,6.14000000,4.19042557500,,1.060000,1.080000,5903.00
"Kepler-1846 b",,1.76378826,14.82009983000,,0.785000,0.732000,4825.00
"Kepler-1456 b",,1.14000000,18.13738290000,,0.640000,0.620000,4231.00
"Kepler-137 b",,1.47000000,8.43638700000,,,0.802000,5187.00
"K2-11 b",,7.55000000,39.93767000000,734.00,1.350000,5.150000,5433.00
"Kepler-248 b",,3.02000000,6.30820500000,,,0.831000,5190.00
"CoRoT-11 b",740.51000000,16.03000000,2.99433000000,1657.00,1.270000,1.370000,6440.00
"Kepler-55 d",,1.59000000,2.21109900000,,,0.619000,4503.00
"WASP-160 B b",88.35674000,12.21781000,3.76849520000,1119.00,0.870000,0.868000,5298.00
"TOI-6034 b",254.00000000,11.92000000,2.57618400000,714.00,0.514000,0.489000,3635.00
"TOI-139 b",,2.45660000,11.07085000000,561.17,0.690000,0.700700,4570.00
"TOI-269 b",8.80000000,2.77000000,3.69771040000,531.00,0.391700,0.398000,3514.00
"Kepler-31 d",2161.24400000,3.90000000,87.64510000000,,1.210000,1.220000,6340.00
